Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance,Date,,,,
TOPUP,Current,2025-12-20 09:00:00,12/20/25 09:00,Salary Transfer,2500,0,EUR,COMPLETED,2500,2025-12-20 09:00:00,,,,
CARD_PAYMENT,Current,12/21/25 18:30,12/22/25 09:15,Groceries - Holiday,-185.5,0,EUR,COMPLETED,2314.5,2025-12-21 18:30:00,,,,
CARD_PAYMENT,Current,12/23/25 14:20,12/24/25 03:45,Last Minute Gifts,-120,0,EUR,COMPLETED,2194.5,2025-12-23 14:20:10,,,,
CARD_PAYMENT,Current,12/24/25 20:00,12/25/25 11:30,Restaurant Eve,-85.4,0,EUR,COMPLETED,2109.1,2025-12-24 20:00:00,,,,
CARD_PAYMENT,Current,12/27/25 10:15,12/27/25 10:15,Gas Station,-45,0,EUR,COMPLETED,2064.1,2025-12-27 10:15:00,,,,
CARD_PAYMENT,Current,12/29/25 09:00,12/29/25 09:00,Mobile Bill,-25,0,EUR,COMPLETED,2039.1,2025-12-29 09:00:00,,,,
CARD_PAYMENT,Current,12/31/25 23:45,1/1/26 10:20,NYE Drinks,-65.2,0,EUR,COMPLETED,1973.9,2025-12-31 23:45:00,,,,
CARD_PAYMENT,Current,1/2/26 12:30,1/3/26 04:15,Local Cafe,-4.5,0,EUR,COMPLETED,1969.4,2026-01-02 12:30:15,,,,
CARD_PAYMENT,Current,1/3/26 08:15,1/3/26 08:15,Transport Ticket,-2.5,0,EUR,COMPLETED,1966.9,2026-01-03 08:15:00,,,,
CARD_PAYMENT,Current,1/5/26 19:00,1/6/26 09:12,Netflix Subscription,-12.99,0,EUR,COMPLETED,1953.91,2026-01-05 19:00:00,,,,
CARD_PAYMENT,Current,1/7/26 14:20,1/8/26 03:45,Amazon Marketplace,-34.99,0,EUR,COMPLETED,1918.92,2026-01-07 14:20:33,,,,
CARD_PAYMENT,Current,1/8/26 13:05,1/9/26 02:22,Spotify Premium,-9.99,0,EUR,COMPLETED,1908.93,2026-01-08 13:05:00,,,,
TOPUP,Current,1/10/26 10:00,1/10/26 10:00,Refund - Amazon,34.99,0,EUR,COMPLETED,1943.92,2026-01-10 10:00:00,,,,
CARD_PAYMENT,Current,1/12/26 19:30,1/13/26 12:45,Gym Membership,-29.99,0,EUR,COMPLETED,1913.93,2026-01-12 19:30:00,,,,
CARD_PAYMENT,Current,1/14/26 16:40,1/15/26 08:20,Cinema City,-14,0,EUR,COMPLETED,1899.93,2026-01-14 16:40:55,,,,
CARD_PAYMENT,Current,1/15/26 18:00,1/16/26 10:15,Pharmacy,-12.5,0,EUR,COMPLETED,1887.43,2026-01-15 18:00:00,,,,
CARD_PAYMENT,Current,1/16/26 08:30,1/17/26 01:20,Bakery,-5.6,0,EUR,COMPLETED,1881.83,2026-01-16 08:30:11,,,,
CARD_PAYMENT,Current,1/17/26 20:00,1/18/26 13:45,Steam Games,-45.99,0,EUR,COMPLETED,1835.84,2026-01-17 20:00:00,,,,
CARD_PAYMENT,Current,1/18/26 10:00,1/18/26 10:05,Sunday Brunch,-35,0,EUR,COMPLETED,1800.84,2026-01-18 10:00:00,,,,
CARD_PAYMENT,Current,1/18/26 12:00,1/18/26 12:01,Uber Ride,-15.5,0,EUR,COMPLETED,1785.34,2026-01-18 12:00:00,,,,
